구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
부산광역시,0,2861,2832,11300,4332,12229,6980,7843,5992,4102,1510,6538,15022,16499,8839,2481,3635,4462,5264,4686,32730,15079
울산광역시,6112,11163,3498,13497,6329,10804,9042,15096,19492,16427,16576,19934,14174,14424,38377,41492,38870,16884,14551,19320,11658,10115
울산광역시,0,995,1740,1708,553,734,1611,1267,1782,2090,2281,4307,3643,2349,3210,0,4078,715,1753,1175,1218,2386
울산광역시,0,2771,10225,4525,2809,15335,43830,33584,34924,18094,46524,40782,37855,52139,52621,60823,101417,101281,75293,79832,96597,91497
경상북도,810,1626,1681,2807,2554,4819,12350,6693,5373,10533,7603,4989,8108,8406,5920,10271,8305,7187,7534,11288,7416,10224
경상북도,53,1418,1529,3223,1546,4979,4064,3646,12143,9060,10410,5042,7084,7270,11715,4834,2823,13623,7794,12182,5932,5669
경상북도,1289,4477,9164,3710,4744,5279,5865,2593,6921,3044,5771,2064,8494,3445,3319,0,3787,1300,1430,8332,4363,5879
경상북도,3532,2114,2645,3183,3222,3795,3106,2603,7713,6744,2140,4449,2885,4104,2977,0,2842,3580,4070,4603,6059,6096
강원도,1873,1437,2062,577,2930,572,394,3607,5982,6590,6366,3421,5037,5699,9805,1840,5227,8704,11847,7056,3983,6289
강원도,125,2238,1855,1370,1027,3587,3767,804,4827,3517,4720,3445,2650,5464,2669,0,2743,7147,3782,6392,4814,4538
강원도,2603,831,2634,4158,2022,838,615,1615,2582,2209,2350,786,1084,673,2879,2497,2067,1775,726,3777,1166,1133
강원도,0,0,0,0,0,0,1377,2959,3638,3268,3765,1906,2498,1765,1473,1063,2282,1716,888,1232,1701,1735
강원도,13266,5760,193,4396,3684,1884,4959,1624,1668,1890,2271,2799,3020,4706,3449,0,7386,4549,8477,7043,1856,2033
강원도,898,9052,1564,546,1033,199,3159,319,4747,10962,674,1955,928,2916,4447,0,3153,4042,6213,1441,3523,2757
강원도,0,0,0,0,0,0,775,791,1118,1932,358,834,332,152,1286,2141,3182,1369,1463,1633,1695,998
강원도,1017,4521,264,628,1140,1010,1034,862,577,978,1672,4934,2459,4098,3135,0,3778,3737,2158,9321,3117,5025
강원도,1954,587,1502,1022,1971,846,1571,2416,2170,1553,1253,3472,899,684,1355,0,1663,640,937,1944,1188,1421
강원도,22,13,280,1,134,257,8,226,930,357,32,67,253,335,1245,0,1256,672,353,152,613,2095
강원도,2126,6794,1221,1738,1734,227,2498,3034,110,6824,6327,2812,3801,2239,5504,0,8064,10802,6544,7919,4447,8537
강원도,0,42,485,0,1066,70,32,7,183,99,7,11,112,176,53,0,336,486,841,1347,1338,967
강원도,222,587,1150,0,872,0,1,377,57,74,10,5,54,87,824,0,3825,993,732,200,1415,419
강원도,469,1099,665,505,2380,952,1835,1704,2422,1581,1513,3148,3667,4067,17461,4761,13650,21220,5169,13518,7334,3791
강원도,0,0,0,0,0,0,0,0,0,15902,741,406,3189,1154,518,0,3680,4765,1284,1571,4794,2520
제주특별자치도,1511,1943,5214,6369,3171,2611,2283,2376,2304,3957,3668,2345,2800,6066,6177,0,5931,8915,9514,7170,4251,9836
제주특별자치도,5103,3175,3748,4721,5469,4840,10989,3934,5221,3586,4508,3906,2341,5145,3873,5524,2940,3822,3107,2662,5134,3642
제주특별자치도,10079,11280,8592,17766,8780,7572,13060,7749,4550,18395,10127,20933,16148,16333,11833,13889,6739,5431,8206,5441,9494,19984
제주특별자치도,3668,4454,8889,3953,2610,3778,9793,2037,1060,2334,3527,10526,6040,5129,4769,6836,5724,4289,4059,8053,8152,5246
제주특별자치도,1442,3594,3464,1762,1960,4906,3945,3252,1966,3963,2149,2603,3579,2802,3682,3945,2891,1214,2367,6471,3195,4616
제주특별자치도,2917,4343,7707,2252,1861,1090,3250,1677,5026,3124,5722,2696,3348,3832,3394,0,4233,4992,7572,3645,11582,15850
전라북도,0,1146,156,690,656,222,1296,249,141,75,438,59,56,53,116,0,0,0,0,0,0,0
전라북도,0,18,1099,117,85,90,29,19,39,26,64,30,31,7,113,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5644,3448,1842,1395
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545,1794,1662,1358
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1959,3022,2009
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,3229,2492,4728
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,826,806,1633
강원도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,1720,1192,578
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,608,985,822
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,1164,1066,699
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,2764,4269,3696
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,1579,2337,1391
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379,672,3917,2000
전라북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,3102,2513,2037
경상남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,842,585,1703
제주특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7323,5832,5505,12957
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8204,653,12224,2080
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,2530,1829
