month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),index_avg_temp(C),index_daily_rain(mm),index_avg_wind(m/s),index_avg_r_humidity(%),Risk
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
9,대전광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,인천광역시,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,충청남도,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,대구광역시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,서울특별시,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,충청북도,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,광주광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,울산광역시,0,0,0,0,0,0,0,0,0.0
10,제주특별자치도,0,0,0,0,0,0,0,0,0.0
10,제주특별자치도,0,0,0,0,0,0,0,0,0.0
10,제주특별자치도,0,0,0,0,0,0,0,0,0.0
10,제주특별자치도,0,0,0,0,0,0,0,0,0.0
